Species Name,Species Code,Link
Achnanthes sp.,1095/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1095/1
Alexandrium tamarense,1119/20,https://www.ccap.ac.uk/strain_info.php?Strain_No=1119/20
Amphidinium carterae,1102/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1102/1
Amphidinium klebsii  ,PLY#693 ?,https://www.ccap.ac.uk/strain_info.php?Strain_No=1102/3
Arthrospira brevis,1406/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1406/1
Asteromonas graciales,80/2,https://www.ccap.ac.uk/strain_info.php?Strain_No=80/2
Bellerochea malleus,1008/1,
Brachiomonas submarina,7/1A,https://www.ccap.ac.uk/strain_info.php?Strain_No=7/1A
Chaetoceros sp. ,1010/3,https://www.ccap.ac.uk/strain_info.php?Strain_No=1010/3
Chlamydomonas subehrenbergii,11/88,https://www.ccap.ac.uk/strain_info.php?Strain_No=11/88
Chlorella stigmatorfora,211/20,https://www.ccap.ac.uk/strain_info.php?Strain_No=211/20
Chlorocystis salina,233/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=233/1
Chloroidium saccarophilum,211/27,https://www.ccap.ac.uk/strain_info.php?Strain_No=211/27
Chromera velia,1602/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1602/1
Chroomonas placoidea,978/8,
Coccomyxa parasitica,216/18,
Diacronema lutheri,931/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=931/1
Ditylum brightwellii,1022/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1022/1
Dunaliella bardawil,Lab verona,
Dunaliella salina,Lab,https://www.ccap.ac.uk/strain_info.php?Strain_No=19/12
Dunaliella teritiolecta,19/24,https://www.ccap.ac.uk/strain_info.php?Strain_No=19/24
Emilania huxleyi,920/12,https://www.ccap.ac.uk/strain_info.php?Strain_No=920/12
Fragilara pinnata,1029/2,https://www.ccap.ac.uk/strain_info.php?Strain_No=1029/2
Isochrysis galbana,927/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=927/1
Marsupiomonas pellicolata,105/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=105/1
Micromonas pusilla,1965/4,https://www.ccap.ac.uk/strain_info.php?Strain_No=1965/4
Minutocellulus polimorfus,1049/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1049/1
Nannochloris atomus,251/4A,https://www.ccap.ac.uk/strain_info.php?Strain_No=251/4A
Nannochloropsis salina,849/3,https://www.ccap.ac.uk/strain_info.php?Strain_No=849/3
Nannochloropsis gaditana,849/5 849/6,https://www.ccap.ac.uk/strain_info.php?Strain_No=849/5
Navicula salincola,1050/10,https://www.ccap.ac.uk/strain_info.php?Strain_No=1050/10
Nitschia epithemoides,1052/18,https://www.ccap.ac.uk/strain_info.php?Strain_No=1052/18
Ochrosphera neapolitana,932/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=932/1
Pavlova lutheri,940/6,https://www.ccap.ac.uk/strain_info.php?Strain_No=931/1
Phaeodactylum tricornutum,1052/1A,https://www.ccap.ac.uk/strain_info.php?Strain_No=1052/1A
Pleurochrysis pseudoroscoffensis,961/3,https://www.ccap.ac.uk/strain_info.php?Strain_No=961/3
Porphyridium purpureum,1380/9,https://www.ccap.ac.uk/strain_info.php?Strain_No=1380/9
Prymnesium parvum,946/6,https://www.ccap.ac.uk/strain_info.php?Strain_No=946/6
Pseudoanabaena sp. ,1464/3,
Pycnococcus provasolii,193/8,https://www.ccap.ac.uk/strain_info.php?Strain_No=913/8
Rhinomonas reticolata var. reticulata,995/2,https://www.ccap.ac.uk/strain_info.php?Strain_No=995/2
Rhizochromulina marina,950/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=950/1
Rhodella maculata,1388/2,https://www.ccap.ac.uk/strain_info.php?Strain_No=1388/2
Rhodella violacea,1388/5,https://www.ccap.ac.uk/strain_info.php?Strain_No=1388/5
Scripsiella trochoidea,1134/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1134/1
Skeletonema marinoi,1077/5,https://www.ccap.ac.uk/strain_info.php?Strain_No=1077/5
Spirulia subsalsa,1475/7 1475/1,https://www.ccap.ac.uk/strain_info.php?Strain_No=1475/1
Surirella sp. ,1078/2,https://www.ccap.ac.uk/strain_info.php?Strain_No=1071/2
Synechococcus sp. 7803,PLY#543??,https://www.ccap.ac.uk/strain_info.php?Strain_No=1479/11
Tetraselmis marina,163/1A,https://www.ccap.ac.uk/strain_info.php?Strain_No=163/1A
Tetraselmis suecica,ply 305,https://www.ccap.ac.uk/strain_info.php?Strain_No=66/4
Thalassiosira pseudonana,ply 693,https://www.ccap.ac.uk/strain_info.php?Strain_No=1085/12
Thalassiosira weissflogii,1082/18,https://www.ccap.ac.uk/strain_info.php?Strain_No=1085/18
